CPU_Usage,Memory_Usage,Bytes_Sent,Bytes_Recv,XMRig_Running
2.2,67.2,3658298,90812356,0
4.5,67.2,3658298,90812356,0
11.2,67.2,3658298,90812356,0
5.6,67.2,3658298,90812356,0
4.5,67.2,3658298,90812356,0
4.6,67.2,3658298,90812356,0
3.3,67.2,3658298,90812356,0
2.2,67.2,3658298,90812356,0
6.7,67.2,3658298,90812356,0
5.8,67.2,3658298,90812356,0
2.3,67.2,3658298,90812356,0
2.4,67.2,3658298,90812356,0
5.6,67.2,3658298,90812356,0
2.2,67.2,3658298,90812356,0
4.6,67.2,3658298,90812356,0
5.8,67.2,3658298,90812356,0
2.2,67.2,3658298,90812356,0
4.5,67.2,3658298,90812356,0
6.9,67.2,3658298,90812356,0
2.2,67.2,3658298,90812356,0
4.5,67.2,3658298,90812356,0
4.5,67.2,3658298,90812356,0
5.6,67.2,3658358,90812416,0
3.3,67.2,3658358,90812416,0
6.6,67.2,3658358,90812416,0
3.4,67.2,3658418,90812476,0
2.2,67.2,3658418,90812476,0
4.7,67.2,3658418,90812476,0
4.6,67.2,3658418,90812476,0
3.4,67.2,3658418,90812476,0
3.4,67.2,3658418,90812476,0
4.5,67.2,3658418,90812476,0
3.3,67.2,3658418,90812476,0
3.4,67.2,3658418,90812476,0
4.7,67.2,3658418,90812476,0
3.4,67.2,3658418,90812476,0
3.3,67.2,3658418,90812476,0
3.4,67.2,3658418,90812476,0
3.5,67.2,3658418,90812476,0
2.2,67.2,3658418,90812476,0
3.5,67.2,3658418,90812476,0
2.3,67.2,3658418,90812476,0
3.4,67.2,3658418,90812476,0
5.7,67.2,3658418,90812476,0
3.5,67.2,3658418,90812476,0
6.8,67.2,3658418,90812476,0
4.6,67.2,3658418,90812476,0
4.6,67.2,3658418,90812476,0
4.5,67.2,3658418,90812476,0
3.3,67.2,3658418,90812476,0
3.4,67.2,3658418,90812476,0
5.6,67.2,3658418,90812476,0
2.3,67.2,3658418,90812476,0
4.5,67.2,3658418,90812476,0
5.6,67.2,3658418,90812476,0
3.3,67.2,3658418,90812476,0
5.7,67.2,3658418,90812476,0
7.1,67.2,3658418,90812476,0
1.1,67.2,3658418,90812476,0
4.5,67.2,3658418,90812476,0
6.7,67.2,3658418,90812476,0
4.7,66.8,3658418,90812476,0
2.2,66.8,3658418,90812476,0
3.5,66.8,3658418,90812476,0
4.6,66.8,3658418,90812476,0
2.2,66.8,3658418,90812476,0
4.5,66.8,3658418,90812476,0
5.7,66.8,3658418,90812476,0
2.3,66.8,3658418,90812476,0
4.6,66.8,3658418,90812476,0
3.5,66.8,3658418,90812476,0
2.2,66.8,3658418,90812476,0
4.5,66.8,3658418,90812476,0
5.8,66.8,3658418,90812476,0
5.7,66.8,3658418,90812476,0
5.8,66.8,3658418,90812476,0
5.6,66.8,3658418,90812476,0
4.9,66.8,3658418,90812476,0
4.5,66.8,3658418,90812476,0
3.4,66.8,3658418,90812476,0
4.6,66.8,3658418,90812476,0
3.4,66.8,3658418,90812476,0
4.6,66.8,3658418,90812476,0
4.8,66.8,3658418,90812476,0
4.4,66.8,3658418,90812476,0
3.5,66.8,3658418,90812476,0
9.1,66.8,3658418,90812476,0
2.3,66.8,3658418,90812476,0
2.2,66.8,3658418,90812476,0
5.7,66.8,3658418,90812476,0
4.5,66.8,3658418,90812476,0
2.2,66.8,3658418,90812476,0
5.6,66.8,3658418,90812476,0
4.9,66.8,3658418,90812476,0
9.8,66.8,3658418,90812476,0
3.5,66.8,3658418,90812476,0
8.3,66.8,3658418,90812476,0
2.2,66.8,3658418,90812476,0
4.7,66.8,3658418,90812476,0
3.5,66.8,3658418,90812476,0
3.3,66.8,3658418,90812476,0
3.3,66.8,3658418,90812476,0
3.5,66.8,3658418,90812476,0
4.5,66.8,3658418,90812476,0
2.2,66.8,3658418,90812476,0
7.2,66.8,3658418,90812476,0
6.0,66.8,3658418,90812476,0
3.5,66.8,3658418,90812476,0
4.8,66.8,3658418,90812476,0
6.0,66.8,3658418,90812476,0
1.2,66.8,3658418,90812476,0
6.0,66.8,3658418,90812476,0
6.0,66.8,3658418,90812476,0
3.5,66.8,3658418,90812476,0
